"Name","City","Country","IATA","Latitude","Longitude"
165,Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182495117,-110.72100067138672
166,Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814453125,-120.73999786376952
167,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923095703,-91.9052963256836
168,Pangnirtung Airport,Pangnirtung,Canada,YXP,66.1449966431,-65.71360015869999
169,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.6974006546,-79.8473453522
170,Prince George Airport,Prince George,Canada,YXS,53.8894004822,-122.679000854
171,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
172,London Airport,London,Canada,YXU,43.035599,-81.1539
173,Abbotsford Airport,Abbotsford,Canada,YXX,49.025299072265625,-122.36100006103516
174,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.7095985413,-135.067001343
175,North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798
176,Calgary International Airport,Calgary,Canada,YYC,51.113899231,-114.019996643
177,Smithers Airport,Smithers,Canada,YYD,54.82469940185547,-127.18299865722656
178,Fort Nelson Airport,Fort Nelson,Canada,YYE,58.8363990784,-122.597000122
179,Penticton Airport,Penticton,Canada,YYF,49.46310043334961,-119.60199737548828
180,Charlottetown Airport,Charlottetown,Canada,YYG,46.290000915527344,-63.12110137939453
181,Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.5766983032
182,Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502
183,Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923095703,-101.07599639892578
184,Swift Current Airport,Swift Current,Canada,YYN,50.2919006348,-107.691001892
185,Churchill Airport,Churchill,Canada,YYQ,58.739200592041016,-94.06500244140624
186,Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.4258003235
187,St. John's International Airport,St. John's,Canada,YYT,47.618598938,-52.7518997192
188,Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389846801758,-82.46749877929688
189,Armstrong Airport,Armstrong,Canada,YYW,50.29029846191406,-88.90969848632812
190,Mont Joli Airport,Mont Joli,Canada,YYY,48.60860061645508,-68.20809936523438
191,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999
192,Downsview Airport,Toronto,Canada,YZD,43.74250030517578,-79.4655990600586
193,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968261719,-82.56780242919922
194,Yellowknife Airport,Yellowknife,Canada,YZF,62.462799072265625,-114.44000244140624
195,Slave Lake Airport,Slave Lake,Canada,YZH,55.2930984497,-114.777000427
196,Sandspit Airport,Sandspit,Canada,YZP,53.25429916379999,-131.813995361
197,Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925293,-82.30889892578125
198,Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921264648,-127.36699676513672
199,Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182495117,-115.78700256347656
200,Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093383789,-66.2656021118164
201,Teslin Airport,Teslin,Canada,YZW,60.17279815673828,-132.7429962158203
202,CFB Greenwood,Greenwood,Canada,YZX,44.98440170288086,-64.91690063476562
203,Faro Airport,Faro,Canada,ZFA,62.20750045776367,-133.37600708007812
204,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122070312,-134.86099243164062
205,Blida Airport,Blida,Algeria,QLD,36.50360107421875,2.814169883728028
206,Bou Saada Airport,Bou Saada,Algeria,BUJ,35.33250045776367,4.206389904022217
207,Soummam Airport,Bejaja,Algeria,BJA,36.7120018005,5.0699200630200005
208,Houari Boumediene Airport,Algier,Algeria,ALG,36.69100189208984,3.215409994125366
209,Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244
212,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234992981,8.62265014648
214,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.45107984543
215,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.7951011658,5.87361001968
216,Mecheria Airport,Mecheria,Algeria,MZW,33.535900116,-0.242353007197
218,Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.809174
219,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009765625,6.620389938354492
220,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.12071990967
221,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040084838867,3.311539888381958
222,Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.46315002441
224,Tindouf Airport,Tindouf,Algeria,TIN,27.7003993988,-8.167099952700001
225,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.2126998901,1.33176994324
226,Tafaraoui Airport,Oran,Algeria,TAF,35.54240036010742,-0.5322780013084412
227,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.45000004768
228,Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829781529999
229,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,35.1717987061,-0.593275010586
230,Ghriss Airport,Ghriss,Algeria,MUW,35.207698822021484,0.1471419930458068
231,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760070800781,-0.1864140033721923
232,Biskra Airport,Biskra,Algeria,BSK,34.7933006287,5.73823022842
233,El Golea Airport,El Golea,Algeria,ELG,30.5713005065918,2.8595900535583496
234,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410186767578,3.794110059738159
235,Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.6730003357,6.140439987180001
236,In Salah Airport,In Salah,Algeria,INZ,27.2509994507,2.51202011108
237,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.06779861450195,6.088669776916504
238,Laghouat Airport,Laghouat,Algeria,LOO,33.7644004822,2.92833995819
239,Timimoun Airport,Timimoun,Algeria,TMX,29.2371006012,0.276033014059
240,Ain el Beida Airport,Ouargla,Algeria,OGX,31.917200088500977,5.412779808044434
241,In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291
242,Cadjehoun Airport,Cotonou,Benin,COO,6.357230186462402,2.384350061416626
243,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3532,-1.51242
244,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.160099983215332,-4.33096981048584
245,Kotoka International Airport,Accra,Ghana,ACC,5.605189800262451,-0.1667860001325607
246,Tamale Airport,Tamale,Ghana,TML,9.55718994140625,-0.8632140159606934
248,Sunyani Airport,Sunyani,Ghana,NYI,7.361830234527588,-2.3287599086761475
249,Takoradi Airport,Takoradi,Ghana,TKD,4.896059989929199,-1.7747600078582764
250,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478023
251,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800048828125,-5.073669910430908
252,Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.792809963226318,-6.473189830780029
253,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.38718032837,-5.55666017532
254,Man Airport,Man,Cote d'Ivoire,MJC,7.272069931030273,-7.58735990524292
255,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837188721,-6.660820007324219
256,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.9031701088,-5.36558008194
257,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412
258,Akure Airport,Akure,Nigeria,AKR,7.246739864349365,5.3010101318359375
259,Benin Airport,Benin,Nigeria,BNI,6.316979885101318,5.599500179290772
260,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859313965,8.347200393676758
261,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.474269866943359,7.561960220336914
263,Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136413574,3.97832989692688
264,Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342407227,4.493919849395752
265,Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829635620115,8.869050025939941
266,Kaduna Airport,Kaduna,Nigeria,KAD,10.696000099182127,7.320109844207764
267,Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462
268,Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.855299949645996,13.080900192260742
269,Makurdi Airport,Makurdi,Nigeria,MDI,7.70388,8.61394
270,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701667785645,3.321160078048706
271,Minna Airport,Minna,Nigeria,MXJ,9.652170181274414,6.462259769439697
272,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900550842285,6.94959020614624
273,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.916299819946287,5.207190036773682
274,Yola Airport,Yola,Nigeria,YOL,9.257550239562988,12.430399894714355
275,Zaria Airport,Zaria,Nigeria,ZAR,11.1302,7.68581
276,Maradi Airport,Maradi,Niger,MFQ,13.5024995803833,7.1267499923706055
277,Diori Hamani International Airport,Niamey,Niger,NIM,13.4815,2.18361
278,Tahoua Airport,Tahoua,Niger,THZ,14.875699996948242,5.265359878540039
279,Mano Dayak International Airport,Agadez,Niger,AJY,16.965999603271484,8.000109672546387
282,Zinder Airport,Zinder,Niger,ZND,13.779000282287598,8.983759880065918
283,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.75809860229492,10.75469970703125
284,Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100173950195,10.22719955444336
287,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.422000885009766,8.822500228881836
288,Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689971923828,10.103300094604492
290,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.775500297546388
291,El Borma Airport,El Borma,Tunisia,EBM,31.70429992675781,9.254619598388672
292,Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.71799850463867,10.690999984741213
293,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.939701080322266,8.110560417175293
294,Niamtougou International Airport,Niatougou,Togo,LRL,9.767330169677734,1.091249942779541
295,Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609836578369,1.2545100450515747
296,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156
299,Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985
301,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202,4.45382
305,Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.817199707,3.20472002029
306,Liège Airport,Liege,Belgium,LGG,50.63740158081055,5.443220138549805
307,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.1988983154,2.8622200489
313,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333
315,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389
321,Riesa-Göhlis Airport,Riesa,Germany,IES,51.2936096191,13.3561105728
322,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.306388855,12.7522220612
324,Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389
325,Barth Airport,Barth,Germany,BBH,54.338253,12.710515
328,"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,52.073612,11.626389
331,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889442,14.531944
333,Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225
334,Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970703
335,Erfurt Airport,Erfurt,Germany,ERF,50.97980117797852,10.958100318908691
336,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556
337,Münster Osnabrück Airport,Munster,Germany,FMO,52.134601593,7.68483018875
338,Hamburg Airport,Hamburg,Germany,HAM,53.630401611328,9.9882297515869
339,Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.47299957275391,13.403900146484377
340,Cologne Bonn Airport,Cologne,Germany,CGN,50.8658981323,7.1427397728
341,Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.76678
342,Munich Airport,Munich,Germany,MUC,48.353802,11.7861
343,Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056
344,Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236389
345,Saarbrücken Airport,Saarbruecken,Germany,SCN,49.2145996094,7.10950994492
346,Stuttgart Airport,Stuttgart,Germany,STR,48.6898994446,9.22196006775
347,Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877
348,Hannover Airport,Hannover,Germany,HAJ,52.461101532,9.68507957458
349,Bremen Airport,Bremen,Germany,BRE,53.0475006104,8.78666973114
350,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959999,8.645833
351,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.26389
352,Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167
356,Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991604,10.47973
357,Siegerland Airport,Siegerland,Germany,SGE,50.70769882202149,8.082969665527344
358,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.5352783203125,9.835556030273438
359,Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412231445,10.145277976989746
360,Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.8054008484,10.7192001343
364,Essen Mulheim Airport,Essen,Germany,ESS,51.40230178833008,6.9373297691345215
