,Source airport,Destination airport,Stops
981,XUZ,KWE,0
982,XUZ,SHE,0
983,YBP,SYX,0
984,YBP,XIY,0
985,YIH,CKG,0
986,YIH,CTU,0
987,YIH,HKG,0
988,YTY,CTU,0
989,YVR,SHE,0
990,ZHA,CKG,0
991,ZHA,HKG,0
992,ZHY,PEK,0
993,ZHY,XNN,0
994,ZUH,CZX,0
995,ZUH,HAK,0
996,LAS,LAX,0
997,LAX,LAS,0
998,CAI,TLV,0
999,TLV,CAI,0
1000,MCG,NIB,0
1001,MCG,TCT,0
1002,NIB,MCG,0
1003,TCT,TLJ,0
1004,TLJ,MCG,0
1005,EYK,VKO,0
1006,NCU,VKO,0
1007,NUX,TJM,0
1008,NUX,UFA,0
1009,NUX,VKO,0
1010,NYM,OVS,0
1011,NYM,VKO,0
1012,OVS,NYM,0
1013,OVS,SVX,0
1014,OVS,VKO,0
1015,SVX,OVS,0
1016,TJM,NUX,0
1017,UCT,VKO,0
1018,UFA,NUX,0
1019,VKO,EYK,0
1020,VKO,NCU,0
1021,VKO,NUX,0
1022,VKO,NYM,0
1023,VKO,OVS,0
1024,VKO,UCT,0
1025,BKK,DAC,0
1026,BZL,DAC,0
1027,CCU,CGP,0
1028,CCU,DAC,0
1029,CGP,CCU,0
1030,CGP,DAC,0
1031,CGP,MCT,0
1032,CXB,DAC,0
1033,DAC,BKK,0
1034,DAC,BZL,0
1035,DAC,CCU,0
1036,DAC,CGP,0
1037,DAC,CXB,0
1038,DAC,DXB,0
1039,DAC,JED,0
1040,DAC,JSR,0
1041,DAC,KTM,0
1042,DAC,KUL,0
1043,DAC,MCT,0
1044,DAC,SPD,0
1045,DAC,ZYL,0
1046,DXB,DAC,0
1047,JED,DAC,0
1048,JSR,DAC,0
1049,KTM,DAC,0
1050,KUL,DAC,0
1051,MCT,CGP,0
1052,MCT,DAC,0
1053,RJH,DAC,0
1054,SPD,DAC,0
1055,SPD,RJH,0
1056,ZYL,DAC,0
1057,YGZ,YRB,0
1058,YRB,YGZ,0
1059,DFW,EZE,0
1060,EZE,DFW,0
1061,EZE,JFK,0
1062,EZE,MIA,0
1063,EZE,PUJ,0
1064,JFK,EZE,0
1065,MIA,EZE,0
1066,MIA,PUJ,0
1067,PUJ,EZE,0
1068,PUJ,MIA,0
1069,YEG,YXY,0
1070,YLW,YVR,0
1071,YLW,YXY,0
1072,YOW,YZF,0
1073,YVR,YLW,0
1074,YVR,YXY,0
1075,YXY,YLW,0
1076,YXY,YVR,0
1077,YXY,YYC,0
1078,YXY,YZF,0
1079,YYC,YEG,0
1080,YZF,YOW,0
1081,YZF,YXY,0
1082,ACA,MEX,0
1083,ACA,TLC,0
1084,AGU,MEX,0
1085,BOG,MEX,0
1086,CEN,MEX,0
1087,CJS,MEX,0
1088,CME,MEX,0
1089,CPE,MEX,0
1090,CTM,MEX,0
1091,CUL,MEX,0
1092,CUN,MEX,0
1093,CUN,MTY,0
1094,CUN,TLC,0
1095,CUU,MEX,0
1096,CZM,MEX,0
1097,GDL,MEX,0
1098,GDL,MTY,0
1099,GDL,SAT,0
1100,GDL,SJD,0
1101,GDL,SNA,0
1102,GDL,TIJ,0
1103,GUA,MEX,0
1104,HAV,MEX,0
1105,HMO,MEX,0
1106,HUX,MEX,0
1107,JFK,MEX,0
1108,LAP,MEX,0
1109,LAS,MTY,0
1110,LAS,TLC,0
1111,MEX,ACA,0
1112,MEX,AGU,0
1113,MEX,BOG,0
1114,MEX,CEN,0
1115,MEX,CJS,0
1116,MEX,CME,0
1117,MEX,CPE,0
1118,MEX,CTM,0
1119,MEX,CUL,0
1120,MEX,CUN,0
1121,MEX,CUU,0
1122,MEX,CZM,0
1123,MEX,GDL,0
1124,MEX,GUA,0
1125,MEX,HAV,0
1126,MEX,HMO,0
1127,MEX,HUX,0
1128,MEX,JFK,0
1129,MEX,LAP,0
1130,MEX,MIA,0
1131,MEX,MID,0
1132,MEX,MTT,0
1133,MEX,MTY,0
1134,MEX,MZT,0
1135,MEX,OAX,0
1136,MEX,PQM,0
1137,MEX,PVR,0
1138,MEX,REX,0
1139,MEX,SAT,0
1140,MEX,SJD,0
1141,MEX,SJO,0
1142,MEX,SNA,0
1143,MEX,TAM,0
1144,MEX,TGZ,0
1145,MEX,TIJ,0
1146,MEX,TRC,0
